lambda,All,sigma_all,Low_luminosity,sigma_low,Mid_luminosity,sigma_mid,High_luminosity,sigma_high,CIVZ1,sigma_CIVZ1,CIVZ2,sigma_CIVZ2," UVBump",sigma_ UVBump,ScottUV,sigma_ScottUV,CaseUV,sigma_CaseUV
1.7168313996304247,44.237,1.02,43.914,1.02,44.262,1.02,44.567,1.03,44.45,1.03,44.684,1.03,44.326,0.32,44.23,0.39,44.735,0.23
1.7368318573940966,44.237,1.02,43.914,1.02,44.262,1.02,44.567,1.03,44.45,1.03,44.684,1.03,44.349,0.3,44.23,0.39,44.782,0.23
1.7568323151577685,44.237,1.02,43.914,1.02,44.262,1.02,44.567,1.03,44.45,1.03,44.684,1.03,44.375,0.28,44.23,0.39,44.831,0.23
1.7768308655728076,44.237,1.02,43.914,1.02,44.262,1.02,44.567,1.03,44.45,1.03,44.684,1.03,44.403,0.27,44.23,0.39,44.881,0.24
1.7968313233364794,44.242,1.02,43.919,1.02,44.268,1.02,44.573,1.03,44.456,1.03,44.69,1.03,44.449,0.26,44.237,0.39,44.932,0.24
1.8168317811001513,44.268,1.02,43.943,1.01,44.294,1.01,44.6,1.02,44.483,1.02,44.718,1.02,44.495,0.25,44.267,0.4,44.982,0.25
1.8368322388638232,44.294,1.01,43.967,1.0,44.319,1.0,44.627,1.01,44.51,1.01,44.745,1.01,44.54,0.24,44.297,0.4,45.032,0.26
1.8568307892788622,44.32,1.0,43.991,0.99,44.345,1.0,44.654,1.0,44.536,1.0,44.773,1.0,44.583,0.23,44.327,0.4,45.079,0.27
1.8768312470425341,44.346,1.0,44.015,0.98,44.37,0.99,44.681,0.99,44.563,0.99,44.801,1.0,44.625,0.22,44.356,0.4,45.122,0.28
1.896831704806206,44.372,0.99,44.04,0.97,44.396,0.98,44.708,0.98,44.589,0.98,44.829,0.99,44.665,0.22,44.386,0.4,45.166,0.28
1.9168321625698779,44.398,0.98,44.064,0.96,44.422,0.97,44.735,0.97,44.616,0.97,44.856,0.98,44.702,0.21,44.416,0.4,45.209,0.29
1.936830712984917,44.424,0.98,44.088,0.96,44.447,0.96,44.762,0.96,44.643,0.96,44.884,0.97,44.737,0.21,44.446,0.41,45.252,0.3
1.9568311707485888,44.45,0.97,44.112,0.95,44.473,0.95,44.789,0.96,44.669,0.96,44.912,0.96,44.77,0.21,44.476,0.41,45.292,0.31
1.9768316285122607,44.475,0.96,44.136,0.94,44.498,0.94,44.816,0.95,44.696,0.95,44.939,0.95,44.8,0.21,44.506,0.41,45.328,0.32
1.9968320862759326,44.501,0.96,44.16,0.93,44.524,0.93,44.843,0.94,44.722,0.94,44.967,0.94,44.828,0.21,44.536,0.41,45.364,0.33
2.0168325440396044,44.527,0.95,44.184,0.92,44.549,0.92,44.869,0.93,44.749,0.93,44.995,0.93,44.853,0.21,44.565,0.41,45.4,0.34
2.0368310944546435,44.553,0.94,44.208,0.91,44.575,0.91,44.896,0.92,44.775,0.92,45.023,0.92,44.876,0.21,44.595,0.41,45.436,0.35
2.0568315522183154,44.579,0.93,44.232,0.9,44.601,0.9,44.923,0.91,44.802,0.91,45.05,0.92,44.897,0.21,44.625,0.42,45.468,0.36
2.0768320099819872,44.605,0.93,44.256,0.89,44.626,0.89,44.95,0.9,44.829,0.9,45.078,0.91,44.916,0.21,44.655,0.42,45.496,0.37
2.096832467745659,44.631,0.92,44.28,0.88,44.652,0.88,44.977,0.89,44.855,0.89,45.106,0.9,44.933,0.22,44.685,0.42,45.524,0.38
2.116831018160698,44.657,0.91,44.305,0.87,44.677,0.87,45.004,0.88,44.882,0.88,45.133,0.89,44.948,0.22,44.715,0.42,45.552,0.39
2.13683147592437,44.682,0.91,44.329,0.86,44.703,0.86,45.031,0.87,44.908,0.87,45.161,0.88,44.962,0.23,44.744,0.42,45.58,0.4
2.156831933688042,44.708,0.9,44.353,0.85,44.729,0.85,45.058,0.86,44.935,0.86,45.189,0.87,44.974,0.24,44.774,0.42,45.605,0.4
2.176832391451714,44.734,0.89,44.377,0.84,44.754,0.84,45.085,0.85,44.962,0.85,45.217,0.86,44.985,0.24,44.804,0.43,45.625,0.41
2.196830941866753,44.76,0.88,44.401,0.83,44.78,0.83,45.112,0.84,44.988,0.84,45.244,0.85,44.995,0.25,44.834,0.43,45.645,0.42
2.2168313996304247,44.786,0.88,44.425,0.82,44.805,0.82,45.138,0.83,45.015,0.83,45.272,0.84,45.005,0.26,44.864,0.43,45.666,0.43
2.2368318573940966,44.812,0.87,44.449,0.81,44.831,0.81,45.165,0.82,45.041,0.82,45.3,0.83,45.014,0.27,44.894,0.43,45.686,0.44
2.2568323151577685,44.838,0.86,44.473,0.8,44.856,0.8,45.192,0.81,45.068,0.81,45.327,0.82,45.022,0.28,44.924,0.43,45.703,0.45
2.2768308655728076,44.864,0.85,44.497,0.78,44.882,0.78,45.219,0.79,45.095,0.8,45.355,0.81,45.031,0.29,44.953,0.43,45.716,0.45
2.2968313233364794,44.889,0.85,44.521,0.77,44.908,0.77,45.246,0.78,45.121,0.79,45.383,0.8,45.039,0.3,44.983,0.44,45.729,0.46
2.3168317811001513,44.915,0.84,44.545,0.76,44.933,0.76,45.273,0.77,45.148,0.78,45.411,0.79,45.047,0.31,45.013,0.44,45.743,0.47
2.336832238863823,44.941,0.83,44.57,0.75,44.959,0.75,45.3,0.76,45.174,0.77,45.438,0.77,45.055,0.32,45.043,0.44,45.756,0.47
2.3568307892788622,44.967,0.82,44.594,0.74,44.984,0.74,45.327,0.75,45.201,0.75,45.466,0.76,45.064,0.34,45.073,0.44,45.767,0.48
