# lambda   continuum             lines                
  846      2.71207836140616E-5   2.71207836140616E-5  
  848      2.70210655167954E-5   2.70210655167954E-5  
  850      2.69219476784029E-5   2.69219476784029E-5  
  852      2.68234250859371E-5   2.68234250859371E-5  
  854      2.67254927799497E-5   2.67254927799497E-5  
  856      2.66281458537969E-5   2.66281458537969E-5  
  858      2.65313794529554E-5   2.65313794529554E-5  
  860      2.64351887743487E-5   2.64351887743487E-5  
  862      2.63395690656841E-5   2.63395690656841E-5  
  864      2.62445156247994E-5   2.62445156247994E-5  
  866      2.61500237990197E-5   2.61500237990197E-5  
  868      2.60560889845238E-5   2.60560889845238E-5  
  870      2.59627066257198E-5   2.59627066257198E-5  
  872      2.58698722146312E-5   2.58698722146312E-5  
  874      2.5777581290291E-5    2.5777581290291E-5   
  876      2.56858294381451E-5   2.56858294381451E-5  
  878      2.55946122894656E-5   2.55946122894656E-5  
  880      2.55039255207713E-5   2.55039255207713E-5  
  882      2.54137648532582E-5   2.54137648532582E-5  
  884      2.53241260522374E-5   2.53241260522374E-5  
  886      2.52350049265821E-5   2.52350049265821E-5  
  888      2.51463973281824E-5   2.51463973281824E-5  
  890      2.5058299151408E-5    2.5058299151408E-5   
  892      2.49707063325789E-5   2.49707063325789E-5  
  894      2.48836148494444E-5   2.48836148494444E-5  
  896      2.47970207206687E-5   2.47970207206687E-5  
  898      2.4710920005325E-5    2.4710920005325E-5   
  900      2.4625308802396E-5    2.4625308802396E-5   
  902      2.4540183250283E-5    2.4540183250283E-5   
  904      2.44555395263205E-5   2.44555395263205E-5  
  906      2.43713738462992E-5   2.43713738462992E-5  
  908      2.42876824639949E-5   2.42876824639949E-5  
  910      2.42044616707051E-5   2.42044616707051E-5  
  912      2.41217077947913E-5   2.41217077947913E-5  
  914      2.40394172012287E-5   2.40394172012287E-5  
  916      2.39575862911617E-5   2.39575862911617E-5  
  918      2.38762115014665E-5   2.38762115014665E-5  
  920      2.37952893043189E-5   2.37952893043189E-5  
  922      2.37148162067692E-5   2.37148162067692E-5  
  924      2.36347887503225E-5   2.36347887503225E-5  
  926      2.35552035105256E-5   2.35552035105256E-5  
  928      2.34760570965588E-5   2.34760570965588E-5  
  930      2.33973461508344E-5   2.33973461508344E-5  
  932      2.33190673486003E-5   2.33190673486003E-5  
  934      2.32412173975493E-5   2.32412173975493E-5  
  936      2.31637930374339E-5   2.31637930374339E-5  
  938      2.30867910396862E-5   2.30867910396862E-5  
  940      2.30102082070439E-5   2.30102082070439E-5  
  942      2.29340413731805E-5   2.29340413731805E-5  
  944      2.28582874023413E-5   2.28582874023413E-5  
  946      2.27829431889842E-5   2.27829431889842E-5  
  948      2.27080056574255E-5   2.27080056574255E-5  
  950      2.26334717614907E-5   2.26334717614907E-5  
  952      2.25593384841699E-5   2.25593384841699E-5  
  954      2.24856028372781E-5   2.24856028372781E-5  
  956      2.24122618611201E-5   2.24122618611201E-5  
  958      2.23393126241601E-5   2.23393126241601E-5  
  960      2.22667522226956E-5   2.22667522226956E-5  
  962      2.21945777805358E-5   2.21945777805358E-5  
  964      2.21227864486845E-5   2.21227864486845E-5  
  966      2.20513754050274E-5   2.20513754050274E-5  
  968      2.19803418540231E-5   2.19803418540231E-5  
  970      2.1909683026399E-5    2.19096830263991E-5  
  972      2.18393961788508E-5   2.18393961788512E-5  
  974      2.17694785937461E-5   2.17694785937489E-5  
  976      2.16999275788324E-5   2.16999275788515E-5  
  978      2.16307404669482E-5   2.16307404670711E-5  
  980      2.15619146157389E-5   2.15619146164781E-5  
  982      2.14934474073758E-5   2.14934474115375E-5  
  984      2.14253362482793E-5   2.14253362702026E-5  
  986      2.13575785688453E-5   2.13575786769135E-5  
  988      2.12901718231757E-5   2.12901723216499E-5  
  990      2.12231134888124E-5   2.12231156403004E-5  
  992      2.11564010664743E-5   2.11564097558154E-5  
  994      2.10900320797985E-5   2.10900649185331E-5  
  996      2.10240040750844E-5   2.10241202032698E-5  
  998      2.09583146210416E-5   2.09586988946191E-5  
  1000     2.08929613085404E-5   2.0894151166349E-5   
  1002     2.08279417503663E-5   2.08313892264692E-5  
  1004     2.07632535809774E-5   2.07726002985874E-5  
  1006     2.0698894456265E-5    2.07226064808586E-5  
  1008     2.06348620533169E-5   2.0691151866808E-5   
  1010     2.05711540701848E-5   2.06961922492719E-5  
  1012     2.05077682256536E-5   2.07676687341225E-5  
  1014     2.04447022590142E-5   2.09502047216662E-5  
  1016     2.03819539298394E-5   2.13019608203607E-5  
  1018     2.03195210177623E-5   2.18863101205511E-5  
  1020     2.02574013222579E-5   2.27541892880826E-5  
  1022     2.01955926624271E-5   2.39186904262571E-5  
  1024     2.01340928767837E-5   2.5329013023465E-5   
  1026     2.00728998230443E-5   2.68556367019522E-5  
  1028     2.00120113779207E-5   2.82987324606749E-5  
  1030     1.99514254369148E-5   2.9424961896514E-5   
  1032     1.98911399141162E-5   3.00254268889761E-5  
  1034     1.98311527420025E-5   2.99755424152282E-5  
  1036     1.97714618712422E-5   2.92733586061746E-5  
  1038     1.97120652704995E-5   2.80401732435266E-5  
  1040     1.96529609262424E-5   2.64831707569149E-5  
  1042     1.95941468425527E-5   2.48358618233193E-5  
  1044     1.95356210409384E-5   2.32997493317959E-5  
  1046     1.94773815601485E-5   2.20067208435415E-5  
  1048     1.94194264559904E-5   2.10098083372517E-5  
